======================================================================
     قائمة الأصناف الكاملة مع أكواد الشركة
     تاريخ الإنتاج: ١٧‏/٧‏/٢٠٢٦
======================================================================

======================================================================
  BR - مواسير وتوصيلات PPR
  مكوّد: 208 | غير مكوّد: 24 | الإجمالي: 232
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  20003   375020003       مجمع صرف ٤*١,٥*١,٥ اسمارت هوم
  20004   333040004       متر مواسير ٤ بوصه ٥مم سمارت ابيض
  20005   353091001       صليبه ٤ * ٩٠ درجه سمارت ابيض
  20006   353020004       كوع ٤ بوصه عاده سمارت ابيض
  20007   353030003       كوع ٤ بوصه بباب سمارت ابيض
  20008   353020002       كوع ٤ بوصه مفتوح سمارت ابيض
  20009   353092002       مشترك مفتوح سمارت ٤*٢ ابيض
  20010   353099929       كوع سيفون ٤ بوصه سمارت ابيض
  20011   353090003       مشترك ٤ بوصه عاده سمارت ابيض
  20012   353090002       مشترك ٤ بوصه بباب سمارت ابيض
  20013   353060005       مشترك مفتوح سمارت ابيض
  20014   353070001       مشترك مسلوب ٤ * ٢ بوصه عاده سمارت ابيض
  20015   353092002       مشترك مسلوب ٤ * ٢ بوصه بباب سمارت ابيض
  20016   353080003       مشترك مسلوب ٤ * ٣ بوصه عاده سمارت ابيض
  20017   353090003       مشترك مسلوب ٤ * ٣ بوصه بباب سمارت ابيض
  20018   353080002       مشترك مسلوب ٤ * ٢ بوصه مفتوح سمارت ابيض
  20019   373050028       نقاص ٤ * ٣ بوصه سمارت ابيض
  20020   373050025       نقاص ٤ * ٢ بوصه سمارت ابيض
  20021   353093004       جلبة لصق ٤ بوصه سمارت ابيض
  20022   353095010       طبة لصق ٤ بوصه ابيض
  20023   353095003       طبة تسليك ٤ بوصه سمارت ابيض
  20024   373040001       هوايه ٤ بوصه سمارت ابيض
  20025   353094001       صليبه ٤ * ٤٥ د اسمارت هوم
  20026   353091031       صليبه ٤*٣*٤٥ د اسمارت هوم
  20027   353091031       صليبه ٤*٣*٩٠ د اسمارت هوم
  20028   353091030       صليبه ٤*٤*٩٠ د اسمارت هوم
  20029   353010013       كوع ٤ بوصه قصير اسمارت هوم
  20030   353030007       كوع ٤ بوصه باب قصير اسمارت هوم
  20031   373099914       جلبة ٤ بوصه اصلاح اسمارت هوم
  20032   353094001       صليبه ٤ بوصه ٤٥ د اسمارت هوم
  20033   373010039       مجمع ٤ * ٣ اسمارت هوم
  20034   373099905       قشره ١١٠ * ١١٤ اسمارت هوم
  20035   373099907       جرجور ١١٠ مم اسمارت هوم
  20036   373099909       وصله ٤ بوصه تمدد
  20037   353095010       بلف ٤ اسمارت
  20038   373099916       جلبة ٤ بوصه بدون وصله اسمارت
  20039   353096101       جليتراب ٧٥ * ١١٠ مخرج ١١٠ مفتوح S
  20040   353096103       جليتراب ١١٠ * ١١٠ S مفتوح
  20041   353096104       جليتراب ١١٠ * ١١٠ S مغلق
  20042   333050001       متر مواسير ٦ بوصه ٤مم سمارت أبيض
  20043   353091002       صليبه ٦ بوصه اسمارت هوم
  20044   333050002       متر مواسير ٦ بوصه ٥مم سمارت أبيض
  20045   353096211       مجره عملاقه اسمارت
  20046   353095018       بلف ٦ بوصه اسمارت
  20047   332020010       متر ٨ بوصه برتقالى
  20048   353020005       كوع ٦ بوصه عاده سمارت أبيض
  20049   353030004       كوع ٦ بوصه بباب سمارت أبيض
  20050   353020005       كوع ٦ بوصه مفتوح سمارت أبيض
  20051   353060006       مشترك ٦ بوصه عاده سمارت أبيض
  20052   353090004       مشترك ٦ بوصه بباب سمارت أبيض
  20053   353060006       مشترك ٦ بوصه مفتوح سمارت أبيض
  20054   353070005       مشترك مسلوب ٦ * ٤ بوصه عاده سمارت أبيض
  20055   353092004       مشترك مسلوب ٦ * ٤ بوصه بباب سمارت أبيض
  20056   353080004       مشترك مسلوب ٦ * ٤ بوصه مفتوح سمارت أبيض
