=== أصناف الشركة المذكورة في قائمة الأسعار (PDF) وليست مسجلة في السيستم ===
إجمالي الأصناف المفقودة: 605 صنف من أصل 838 صنف بالملف.

--------------------------------------------------
1. منتجات BR المفقودة (إجمالي 244 صنف):
--------------------------------------------------
 - [كود: 351095004] UV اسودPP-Rمم50بردة لحام محبس بلية BR 30.00 | السعر: غير محدد
 - [كود: 351095005] UV اسودPP-Rمم63بردة لحام محبس بلية BR 35.50 | السعر: غير محدد
 - [كود: 351095006] UV اسودPP-Rمم63بردة لحام محبس بلية BR 35.50 | السعر: غير محدد
 - [كود: 351099945] PPR مم20قفيزBR | السعر: 5.75
 - [كود: 351099946] PPRمم25قفيز BR 7.50 | السعر: غير محدد
 - [كود: 351099947] PPRمم32قفيز BR 9.50 | السعر: غير محدد
 - [كود: 351120002] °90 مم25كوع لحام طويلBR | السعر: 25.25
 - [كود: 351120003] °90 مم32كوع لحام طويلBR | السعر: 47.75
 - [كود: 355010002] UV مم أسود25 درجة45كوع لحام BR 41.00 | السعر: غير محدد
 - [كود: 355010003] UV مم أسود32 درجة45كوع لحامBR | السعر: 57.75
 - [كود: 355020002] UV أسود90 مم25كوع لحام BR 35.50 | السعر: غير محدد
 - [كود: 355020003] UV أسود90 مم32كوع لحامBR | السعر: 51.25
 - [كود: 355020004] UV أسود90 مم40كوع لحام BR 95.50 | السعر: غير محدد
 - [كود: 355020005] UV أسود90 مم50كوع لحامBR | السعر: 183.75
 - [كود: 355020006] UV أسود90 مم63كوع لحامBR | السعر: 234.25
 - [كود: 355040002] UV أسود20/32مسلوب لحام BR 36.00 | السعر: غير محدد
 - [كود: 355040003] UV أسود25/32مسلوب لحام BR 36.00 | السعر: غير محدد
 - [كود: 355040009] UV أسود32/50مسلوب لحام BR 102.00 | السعر: غير محدد
 - [كود: 355040010] UV أسود40/50مسلوب لحام BR 103.50 | السعر: غير محدد
 - [كود: 355040015] UV أسود50/63مسلوب لحام BR 170.00 | السعر: غير محدد
 - [كود: 355050002] UV مم أسود25تى لحامBR | السعر: 36.25
 - [كود: 355050003] UV مم أسود32تى لحام BR 61.00 | السعر: غير محدد
 - [كود: 355050004] UV مم أسود40تى لحام BR 116.00 | السعر: غير محدد
 - [كود: 355050005] UV مم أسود50تى لحامBR | السعر: 199.25
 - [كود: 355050006] UV مم أسود63تى لحام BR 280.00 | السعر: غير محدد
 - [كود: 355050022] UV مم اسود25تى مزدوج لحامBR | السعر: 47.75
 - [كود: 355050062] UVمم اسود25صليبة لحامBR | السعر: 109.25
 - [كود: 355050063] UVمم اسود32صليبة لحام BR 115.50 | السعر: غير محدد
 - [كود: 355060003] UV أسود25/32تى لحام مسلوبBR | السعر: 81.75
 - [كود: 355060006] UV أسود32/40تى لحام مسلوب BR 146.50 | السعر: غير محدد
 - [كود: 355060008] UV أسود25/50تى لحام مسلوبBR | السعر: 205.75
 - [كود: 355060009] UV أسود32/50تى لحام مسلوبBR | السعر: 221.75
 - [كود: 355060013] UV أسود32/63تى لحام مسلوب BR 245.00 | السعر: غير محدد
 - [كود: 355060015] UV أسود50/63تى لحام مسلوبBR | السعر: 286.75
 - [كود: 355070002] UV مم أسود25جلبه لحامBR | السعر: 27.25
 - [كود: 355070003] UV مم أسود32جلبة لحامBR | السعر: 35.25
 - [كود: 355070004] UV مم أسود40جلبة لحام BR 64.00 | السعر: غير محدد
 - [كود: 355070005] UV مم أسود50جلبة لحامBR | السعر: 111.75
 - [كود: 355070006] UV مم أسود63جلبه لحامBR | السعر: 172.25
 - [كود: 355080002] UV مم أسود25طبه لحامBR | السعر: 28.75
 - [كود: 355080003] UV مم أسود32طبة لحام BR 40.00 | السعر: غير محدد
 - [كود: 355080004] UV مم أسود40طبة لحامBR | السعر: 66.25
 - [كود: 355080005] UV مم أسود50طبه لحام BR 121.00 | السعر: غير محدد
 - [كود: 355080006] UV مم أسود63طبه لحامBR | السعر: 179.75
 - [كود: 355120002] UVاسود°90 مم25كوع لحام طويل BR 40.00 | السعر: غير محدد
 - [كود: 355120003] UVاسود°90 مم32كوع لحام طويلBR | السعر: 55.75
 - [كود: 358091008] 1/2 20بطارية متغيرة بسنBR | السعر: 279.75
 - [كود: 358091009] 1/2 25بطارية متغيرة بسنBR | السعر: 333.25
 - [كود: 358091011] UVمم لحام بدون سوكت أسود32/مم63بطاريةBR | السعر: 1606.75
 - [كود: 358091012] UVمم لحام بسوكت أسود32/مم63بطارية BR 1731.50 | السعر: غير محدد
 - [كود: 358091013] UVمم لحام بدون سوكت أسود32/مم50بطاريةBR | السعر: 1289.25
 - [كود: 358091014] UVمم لحام بسوكت أسود32/مم50بطاريةBR | السعر: 1411.25
 - [كود: 358091112] UVمم بسوكت أسود63/مم32بطارية قصيرة لحامBR | السعر: 1312.75
 - [كود: 358091114] UVمم بسوكت أسود50/مم32بطارية قصيرة لحامBR | السعر: 1141.25
 - [كود: 358091115] UVمم بسوكت أسود50/مم25بطارية قصيرة لحام BR 1062.00 | السعر: غير محدد
 - [كود: 358091117] UVمم بسوكت أسود63/مم25بطارية قصيرة لحام BR 1229.00 | السعر: غير محدد
 - [كود: 361010003] 2/1 25كوع بسن خارجىBR | السعر: 188.25
 - [كود: 361020001] 1/2 20كوع بسن داخلى BR 109.00 | السعر: غير محدد
 - [كود: 361020002] 1/2 25كوع بسن داخلىBR | السعر: 125.75
 - [كود: 361020003] 4/3 25كوع بسن داخلى BR 185.00 | السعر: غير محدد
 - [كود: 361020004] 4/3 32كوع بسن داخلىBR | السعر: 227.25
 - [كود: 361020005] 1 32كوع بسن داخلى BR 387.50 | السعر: غير محدد
 - [كود: 361020006] 1/2 25كوع مزدوج بسن داخلى BR 280.00 | السعر: غير محدد
 - [كود: 361020007] 1/2 20كوع مزدوج BR 236.00 | السعر: غير محدد
 - [كود: 361030003] 1/2 25تى بسن داخلى BR 167.00 | السعر: غير محدد
 - [كود: 361030011] 1/2 20تى بسن خارجىBR | السعر: 150.75
